Transaction_ID,Transaction_Date,Credit_Card_ID,Transaction_Value,Transaction_Segment
CTID89983002,25-May-16,5144-5591-4640-2208,955,SEG14
CTID69829785,29-May-16,2347-2804-9899-1830,48141,SEG24
CTID43911678,13-Jan-16,4349-5976-1214-5524,10556,SEG20
CTID19010491,24-Oct-16,7558-5459-8235-5737,11022,SEG21
CTID42442159,24-Feb-16,3922-3698-6304-1975,30250,SEG24
CTID16605900,13-Nov-16,5129-6974-6371-2964,11833,SEG15
CTID55338924,13-Mar-16,9933-8699-5268-4345,17815,SEG12
CTID24250630,7-Apr-16,7665-2468-6158-3511,48992,SEG23
CTID63583221,4-Jan-16,9083-6711-4313-1181,30243,SEG17
CTID40698127,2-May-16,2056-7091-8023-1914,46845,SEG22
CTID16086102,2-Jul-16,3594-2190-6052-1265,298,SEG17
CTID53983054,29-Jun-16,4991-3814-8016-9048,44683,SEG13
CTID18392337,11-Jul-16,5982-5047-2653-9052,15951,SEG12
CTID83549292,3-Apr-16,6042-2856-7280-2925,13436,SEG21
CTID82606233,20-Aug-16,6012-7799-2842-7221,18360,SEG19
CTID92385937,1-May-16,3007-2083-4197-9770,13662,SEG12
CTID59944572,29-Sep-16,7662-3108-4951-8587,43846,SEG18
CTID45512620,20-Dec-16,4991-3814-8016-9048,6971,SEG25
CTID43929645,1-Feb-16,4784-5120-3581-6184,18590,SEG22
CTID61467181,6-Jul-16,4525-4818-6014-8945,32949,SEG21
CTID15616641,14-Mar-16,6171-3568-7740-8072,14959,SEG11
CTID25236783,4-Jan-16,4420-9925-9792-9113,32713,SEG17
CTID79049488,22-Jun-16,8272-7202-4112-6502,1364,SEG23
CTID69741696,22-Feb-16,5206-5979-9383-4538,5245,SEG13
CTID70923033,19-Sep-16,3140-6494-9869-5893,40837,SEG13
CTID90508994,22-May-16,5175-8965-9249-9021,24805,SEG11
CTID52843489,16-Jan-16,1629-9566-3285-2123,48307,SEG17
CTID44543315,3-Mar-16,3196-5064-6247-7113,29216,SEG17
CTID35725590,19-Mar-16,8783-7271-8493-7931,42794,SEG20
CTID53787315,19-Jun-16,8869-7604-9618-3740,14320,SEG11
CTID39919953,2-Sep-16,6617-5782-1394-1632,29525,SEG11
CTID65663686,4-May-16,7677-5937-2671-3687,49488,SEG16
CTID50558449,6-May-16,4246-1369-3659-8804,6984,SEG23
CTID91780820,7-Feb-16,4610-9984-7768-4610,692,SEG11
CTID41830600,25-Oct-16,8769-1185-5731-6569,27787,SEG12
CTID65915545,17-Oct-16,1438-6906-2509-8219,8022,SEG22
CTID30116647,28-Oct-16,3708-8801-1521-8042,29076,SEG25
CTID87623994,18-Mar-16,8578-3662-1951-5720,9421,SEG23
CTID84270730,11-Dec-16,5283-6135-5709-4452,28644,SEG18
CTID50143807,16-May-16,7966-2894-6066-2530,22375,SEG21
CTID30189023,23-Jul-16,1749-4777-2532-7766,40209,SEG11
CTID54999800,20-Dec-16,6385-4594-8055-9081,26707,SEG16
CTID41909175,29-Mar-16,6258-3903-6637-5620,22281,SEG25
CTID91649543,16-Jul-16,8106-9789-1679-2552,42813,SEG25
CTID21139336,6-Mar-16,3970-3872-2591-7629,33627,SEG14
CTID27591627,4-Dec-16,6514-4444-5642-2615,15317,SEG24
CTID51286588,25-Dec-16,6085-9783-3284-2783,16064,SEG13
CTID83008873,18-Jun-16,6258-3903-6637-5620,6739,SEG25
CTID76945955,18-Mar-16,3458-8126-3660-8686,15807,SEG16
CTID75986316,10-Apr-16,5591-5619-8809-5454,49259,SEG25
CTID17469133,21-Mar-16,4819-6940-5506-8061,24231,SEG11
CTID95635465,25-Oct-16,3405-7202-8402-5988,33486,SEG12
CTID65438518,2-Sep-16,3544-7836-9589-7635,31353,SEG13
CTID15442130,17-May-16,3594-2190-6052-1265,35852,SEG21
CTID46365299,23-Apr-16,5349-1963-8417-8327,34090,SEG25
CTID19451148,16-Aug-16,7908-3850-6633-2606,7743,SEG18
CTID62140956,19-Jun-16,5590-1294-8800-2874,41228,SEG13
CTID13020269,14-Feb-16,9304-8255-4381-2028,2667,SEG21
CTID64575273,8-Nov-16,9157-2802-8374-1145,2418,SEG17
CTID80396057,20-Dec-16,1187-8674-2708-3972,46212,SEG24
CTID44242497,11-Feb-16,3440-3330-5015-4988,21350,SEG12
CTID13823565,15-Nov-16,4262-7103-6508-4214,23886,SEG20
CTID73092320,13-Jun-16,5619-4425-5473-6565,14050,SEG17
CTID98838546,9-Jun-16,2046-1892-2379-9050,8199,SEG20
CTID90565262,12-Nov-16,2992-8127-2278-9771,4093,SEG19
CTID79929631,28-Feb-16,2422-2354-4628-4556,8958,SEG18
CTID23946761,26-Feb-16,7708-8807-7837-8812,799,SEG14
CTID12303087,13-Nov-16,7658-7645-4568-1461,26431,SEG12
CTID83705853,21-Dec-16,1259-5241-3561-1773,3861,SEG16
CTID93893582,15-Feb-16,7276-7349-6334-3809,7709,SEG21
CTID75411359,21-Jan-16,3001-2844-6540-3608,4223,SEG19
CTID88529229,5-Aug-16,8115-7743-6213-9284,28528,SEG13
CTID33921395,7-Mar-16,2264-2870-6785-2725,47877,SEG25
CTID43355946,6-Aug-16,1235-8656-9164-2644,37494,SEG11
CTID61789528,8-Sep-16,6540-2862-2962-5109,934,SEG25
CTID90824629,24-Jun-16,1585-2708-4693-1454,10339,SEG14
CTID75958813,18-Apr-16,6025-2610-4001-6680,460,SEG19
CTID32765855,14-Jul-16,5533-2042-7236-9790,16426,SEG25
CTID74195846,14-Aug-16,8691-3939-1859-5937,42144,SEG19
CTID12997336,25-Aug-16,3697-6001-4909-5350,8076,SEG25
CTID48358803,13-Jul-16,2893-7786-7528-2338,29739,SEG25
CTID31895189,1-Dec-16,9458-1130-5333-6475,44822,SEG16
CTID74583185,29-Jul-16,8869-7604-9618-3740,6126,SEG19
CTID47991566,17-Mar-16,8578-3662-1951-5720,5910,SEG22
CTID13376450,6-Feb-16,1355-1728-8274-9593,30490,SEG16
CTID75163586,18-Oct-16,8836-7078-5752-6312,37933,SEG21
CTID21977092,31-Dec-16,6272-7021-2748-1471,8509,SEG25
CTID48926797,4-Jul-16,9310-6095-5617-9905,38288,SEG18
CTID33048584,4-Mar-16,1123-9777-7335-9167,34653,SEG12
CTID24864485,2-Jul-16,8052-5734-6162-9591,17364,SEG16
CTID56494020,7-Jan-16,5556-4557-4566-1540,28517,SEG23
CTID27779169,31-Aug-16,8467-5358-5569-3718,3698,SEG19
CTID70744813,25-Jan-16,8031-9022-9952-9605,32301,SEG16
CTID30191214,10-Sep-16,7837-4036-5999-1672,4733,SEG20
CTID52649010,1-Feb-16,8138-6235-7062-6142,36457,SEG13
CTID12126014,24-Sep-16,7168-9862-2659-8550,12837,SEG22
CTID34518385,15-Aug-16,8725-3610-8060-2617,12587,SEG22
CTID69100100,19-Jul-16,6315-7338-3105-9947,4087,SEG21
CTID35756391,5-Mar-16,5814-6146-3149-1775,17776,SEG25
CTID85896280,5-Jul-16,4818-7275-3513-3939,38297,SEG23
CTID19839345,18-May-16,5811-4353-3490-5513,11862,SEG22
CTID94998392,23-Oct-16,2911-7555-3093-9231,5919,SEG24
CTID16322007,14-Nov-16,6148-9835-7115-4405,25241,SEG21
CTID75607282,2-Jun-16,1893-8853-9900-8478,25764,SEG11
CTID58554308,8-Nov-16,5206-5979-9383-4538,17289,SEG20
CTID35703242,24-Feb-16,5778-9566-9086-7555,27347,SEG12
CTID96560832,4-Apr-16,3170-4662-9297-6384,38074,SEG22
CTID88461344,15-Aug-16,2056-7091-8023-1914,20862,SEG16
CTID28444473,9-Jan-16,9304-4488-7872-2868,31469,SEG25
CTID61555638,7-Jan-16,1825-7669-6621-9045,7154,SEG13
CTID23587070,14-Jul-16,1481-2536-2178-7547,21366,SEG22
CTID99068121,2-May-16,2116-6906-9722-9824,26449,SEG25
CTID94969373,31-Mar-16,1693-2036-4352-9386,9748,SEG13
CTID17733602,25-Sep-16,4349-5976-1214-5524,45332,SEG11
CTID25573916,25-Jan-16,4646-8260-8197-7078,34588,SEG16
CTID49999419,12-Jun-16,8757-6814-8721-3839,13153,SEG20
CTID55773811,19-Oct-16,3001-2844-6540-3608,10580,SEG14
CTID99177828,8-May-16,2595-8621-2855-9119,24989,SEG21
CTID61562561,28-Feb-16,4818-7275-3513-3939,19103,SEG18
CTID47844980,23-Mar-16,9391-7086-9113-4893,1556,SEG25
CTID13611468,30-May-16,1782-5331-5899-1813,25991,SEG14
CTID17823791,7-Mar-16,7662-3108-4951-8587,12460,SEG22
CTID44725599,8-Jan-16,4203-2936-4855-8802,26731,SEG11
CTID60768509,15-Oct-16,4092-8604-7363-3393,34236,SEG23
CTID12416592,1-Oct-16,8614-1547-9524-8444,11085,SEG24
CTID85625581,2-Oct-16,4933-8895-6001-8577,31949,SEG18
CTID20690481,17-Dec-16,3380-5311-6073-9478,6539,SEG14
CTID57279911,24-Apr-16,3313-4024-5109-8235,25045,SEG13
CTID13393523,1-Nov-16,5018-8635-8433-6614,21890,SEG23
CTID61412164,20-Mar-16,2535-9251-5633-3656,40794,SEG24
CTID50439096,26-Jul-16,4203-2936-4855-8802,16334,SEG15
CTID32605313,10-Jul-16,4661-5769-5059-2114,49544,SEG15
CTID98805399,10-Oct-16,5616-5526-4836-1962,5785,SEG22
CTID23815030,13-Sep-16,3323-8332-7133-7008,15582,SEG15
CTID79576450,14-May-16,5960-5753-3689-8262,31454,SEG21
CTID80817022,24-May-16,6321-2048-7733-8765,20072,SEG20
CTID18918004,25-Mar-16,8578-3662-1951-5720,24279,SEG20
CTID37642297,2-Jul-16,6171-3568-7740-8072,30931,SEG12
CTID56840521,17-Nov-16,2046-1892-2379-9050,20234,SEG20
CTID72636226,15-Nov-16,4427-5380-8182-9668,10310,SEG23
CTID28267863,20-Sep-16,3170-4662-9297-6384,7211,SEG12
CTID79611141,10-Nov-16,6492-5655-8241-3530,40319,SEG17
CTID29551810,17-Jul-16,6994-7925-9044-3458,28721,SEG19
CTID64251442,9-Oct-16,2017-7197-7814-9950,18011,SEG25
CTID37175733,4-May-16,7708-8807-7837-8812,24988,SEG25
CTID20396477,10-Jan-16,4818-7275-3513-3939,30876,SEG22
CTID20122867,13-Mar-16,7296-3224-2880-5747,38144,SEG18
CTID23031292,2-Nov-16,7168-9862-2659-8550,8467,SEG20
CTID35472129,21-Feb-16,5731-9804-7859-1641,35341,SEG20
CTID55936882,29-Nov-16,1336-9200-1264-2551,34367,SEG21
CTID11604363,22-Feb-16,8305-2272-4553-4911,35291,SEG16
CTID33305453,8-Aug-16,7224-9964-4793-3939,43458,SEG14
CTID19610434,2-Aug-16,7908-8365-2086-2481,5013,SEG13
CTID22764343,26-Aug-16,9843-6858-7863-1891,43557,SEG11
CTID81542740,3-Apr-16,7299-3529-7767-1695,27320,SEG19
CTID59764726,25-Aug-16,5616-5526-4836-1962,4195,SEG13
CTID77948981,14-Jul-16,5984-2442-3351-3695,19768,SEG15
CTID70316797,16-Mar-16,2764-7023-8396-5255,37233,SEG20
CTID13984820,30-Jan-16,6479-5593-2105-9060,42559,SEG25
CTID90027280,19-Sep-16,5175-8965-9249-9021,21967,SEG15
CTID18222382,3-Jun-16,7416-4529-6690-5703,21563,SEG25
CTID13057728,7-Oct-16,6075-5795-3555-1281,7836,SEG19
CTID52533613,12-Jan-16,3168-6552-9936-1500,22358,SEG18
CTID37574090,5-Nov-16,1559-8764-1659-4317,48647,SEG11
CTID61925875,21-May-16,2447-6299-5016-4953,2496,SEG16
CTID15241575,31-Oct-16,1616-5911-1676-5466,18080,SEG17
CTID32171893,18-Mar-16,5592-8244-5701-5100,1440,SEG12
CTID62525966,6-Jun-16,2893-7786-7528-2338,30226,SEG19
CTID69605488,15-Jan-16,6321-2048-7733-8765,27387,SEG22
CTID22674277,24-Nov-16,9386-8854-6115-4075,14525,SEG19
CTID68117922,28-Apr-16,8066-8437-2479-2481,9327,SEG16
CTID94424844,24-Jul-16,7504-5906-9389-8905,38180,SEG20
CTID46567540,1-Feb-16,8467-5358-5569-3718,35203,SEG21
CTID62363787,13-May-16,6025-2610-4001-6680,8781,SEG24
CTID95703581,21-Dec-16,4864-7119-5608-7611,42613,SEG22
CTID12596740,30-Nov-16,6042-2856-7280-2925,30370,SEG15
CTID72228862,5-Jul-16,7290-4771-9163-1291,12397,SEG25
CTID53344391,3-Aug-16,8486-4186-7122-3452,44071,SEG22
CTID50717550,30-Dec-16,9161-8723-1217-5269,44585,SEG24
CTID62780951,11-Jun-16,9369-6196-2597-1730,10374,SEG25
CTID24362182,3-Jul-16,8951-3220-4809-9797,46083,SEG11
CTID37223243,4-Feb-16,7900-3001-7632-4005,18853,SEG17
CTID55242397,25-Aug-16,5591-5619-8809-5454,9006,SEG23
CTID84471784,20-Dec-16,6765-2732-8888-1318,28984,SEG24
CTID17151903,9-Apr-16,2595-7800-1142-5225,2850,SEG24
CTID63229719,28-May-16,3458-8126-3660-8686,29795,SEG14
CTID69350091,16-Aug-16,8361-7488-5303-1801,10276,SEG13
CTID61255253,9-May-16,2264-2870-6785-2725,10241,SEG23
CTID89563048,27-May-16,5962-5634-2696-2739,17146,SEG25
CTID18768516,6-Jan-16,5984-2442-3351-3695,37875,SEG22
CTID88885850,7-Jul-16,9517-7826-1862-6726,27340,SEG12
CTID83294388,24-Nov-16,3313-4024-5109-8235,6421,SEG17
CTID68419215,15-Oct-16,6197-7150-9163-8287,6912,SEG16
CTID70663216,22-Mar-16,4973-1293-1664-2086,29436,SEG16
CTID50637354,7-Oct-16,9356-9491-6534-8313,35708,SEG11
CTID87252789,3-Jul-16,7141-7294-3956-4408,8919,SEG15
CTID77629054,1-Mar-16,1765-4019-5141-9230,19503,SEG20
CTID43380685,20-Feb-16,4937-6752-6970-3163,25946,SEG22
CTID62078493,13-Feb-16,5296-2987-4365-6870,49505,SEG15
CTID52345227,14-Dec-16,8031-9022-9952-9605,43491,SEG12
CTID56880947,14-Jun-16,3914-1379-8974-9157,48045,SEG12
CTID87881979,7-Jul-16,5144-5591-4640-2208,12732,SEG18
CTID58922027,11-Feb-16,5540-8588-7666-7798,31656,SEG19
CTID36538948,7-Nov-16,3114-9778-2542-3154,32283,SEG20
CTID61223425,4-Jan-16,8214-9590-3044-1216,3742,SEG14
CTID75811385,16-May-16,3167-9604-1650-2605,28846,SEG16
CTID95445736,9-Jun-16,5747-7372-2770-2325,7410,SEG22
CTID56697573,4-Jun-16,2495-1344-4998-6045,27109,SEG24
CTID37261063,13-Jun-16,4138-5166-7490-1188,16950,SEG17
CTID55806005,9-Sep-16,1355-1728-8274-9593,25742,SEG22
CTID74960781,21-Mar-16,1559-8764-1659-4317,46646,SEG25
CTID95613581,6-Jul-16,4587-3535-8224-4301,27797,SEG12
CTID50366321,2-Jul-16,3467-4873-4196-4795,49296,SEG20
CTID78874300,15-Mar-16,2595-7800-1142-5225,29176,SEG13
CTID55916016,9-May-16,3513-5475-4629-7570,3825,SEG13
CTID13529302,6-Sep-16,8249-2687-5339-2078,48868,SEG22
CTID12164601,23-Oct-16,9425-1481-6545-6190,29890,SEG25
CTID45974171,20-Jun-16,3698-9867-4865-5497,19308,SEG14
CTID49220021,1-Nov-16,9304-8255-4381-2028,44763,SEG18
CTID67981131,3-Feb-16,3544-7836-9589-7635,46616,SEG12
CTID33667206,4-Sep-16,7586-6475-9618-3909,41315,SEG15
CTID97208028,25-Jul-16,8135-1903-7706-2260,15405,SEG20
CTID31276879,18-Aug-16,9386-8854-6115-4075,5476,SEG20
CTID49169480,9-Nov-16,1259-5241-3561-1773,33655,SEG22
CTID30271092,4-Jan-16,3146-4961-6964-4229,13788,SEG11
CTID89585792,10-Dec-16,1449-4529-1480-3546,31139,SEG24
CTID94701458,13-Oct-16,5094-8484-5014-6152,27964,SEG25
CTID32725523,7-Apr-16,8793-4049-9771-8176,37585,SEG11
CTID32935594,8-Jun-16,5814-6146-3149-1775,638,SEG25
CTID18814238,22-Feb-16,8976-7958-2694-8171,11525,SEG22
CTID41643260,27-Jun-16,7900-3001-7632-4005,7186,SEG14
CTID28002072,5-Jul-16,1127-9633-2269-3119,6005,SEG18
CTID57989295,4-Dec-16,5384-8278-5616-5502,37941,SEG16
CTID45760792,23-Mar-16,3430-7717-8611-4878,3439,SEG20
CTID31302142,10-Oct-16,2649-6876-7496-4123,32421,SEG17
CTID37572303,7-Nov-16,3922-3698-6304-1975,26701,SEG14
CTID81199202,30-Mar-16,5018-8635-8433-6614,49698,SEG13
CTID37990100,19-Aug-16,7725-3576-5626-3317,6654,SEG25
CTID87725637,18-Nov-16,7725-3576-5626-3317,30462,SEG15
CTID88160445,24-Dec-16,4959-5036-1379-1303,19271,SEG12
CTID85378475,17-Aug-16,4843-3880-6792-2259,31787,SEG12
CTID73132593,24-Aug-16,8869-7604-9618-3740,9048,SEG16
CTID90182533,24-Jul-16,4708-4407-9601-6022,8630,SEG11
CTID81574346,28-Sep-16,4843-3880-6792-2259,20258,SEG21
CTID90593327,5-Feb-16,8115-7743-6213-9284,42697,SEG25
CTID72585499,28-Jun-16,6042-2856-7280-2925,40139,SEG20
CTID69521846,30-Aug-16,8031-9022-9952-9605,49338,SEG14
CTID65304804,30-Mar-16,2046-1892-2379-9050,1868,SEG24
CTID77361267,1-Mar-16,4661-5769-5059-2114,30621,SEG16
CTID14123376,12-Jun-16,2370-4593-4826-2349,32070,SEG24
CTID53641098,29-May-16,2201-1387-2319-6874,36149,SEG19
CTID60220521,3-Jan-16,9304-8255-4381-2028,21936,SEG17
CTID84885123,30-Oct-16,9304-8255-4381-2028,29230,SEG19
CTID62153504,15-Jul-16,5864-4475-3659-1440,42916,SEG22
CTID91116251,23-Aug-16,3620-5235-2101-3391,11513,SEG11
CTID95735172,22-Apr-16,8522-7783-9262-6673,156,SEG12
CTID83363765,18-Sep-16,7430-6895-6227-4665,41381,SEG20
CTID99758372,31-Dec-16,6272-7021-2748-1471,48425,SEG11
CTID96816058,29-Mar-16,7725-3576-5626-3317,12996,SEG22
CTID49476304,17-Mar-16,9161-8723-1217-5269,49513,SEG22
CTID95097064,23-Sep-16,3748-8048-5227-8162,43407,SEG21
CTID65606916,29-Jun-16,2595-8621-2855-9119,28458,SEG15
CTID56217127,20-Feb-16,4783-2852-8264-4966,34023,SEG12
CTID67443422,18-Aug-16,6321-2048-7733-8765,35886,SEG15
CTID91791995,21-Oct-16,4783-2852-8264-4966,15874,SEG25
CTID79899936,4-Sep-16,4708-4407-9601-6022,48544,SEG13
CTID63762180,5-Dec-16,8528-6154-7390-5081,44550,SEG15
CTID43564171,5-Aug-16,4334-6855-2003-9239,11803,SEG24
CTID82645178,27-May-16,8522-7783-9262-6673,2732,SEG18
CTID77272661,24-Oct-16,8272-7202-4112-6502,8856,SEG14
CTID64031787,6-Aug-16,8069-5321-4131-7493,3034,SEG25
CTID82535754,28-Sep-16,3914-1379-8974-9157,39202,SEG13
CTID65434028,17-Mar-16,6575-1457-7757-9141,43620,SEG24
CTID93010743,20-May-16,4703-4800-3443-6825,20188,SEG24
CTID85157286,14-Oct-16,8839-9467-3960-3997,16997,SEG24
CTID98338374,8-Jun-16,5144-5591-4640-2208,43043,SEG12
CTID85827424,19-Aug-16,5674-3252-5805-3288,33571,SEG11
CTID99713372,28-Apr-16,1464-1118-5953-6424,9762,SEG14
CTID51422650,29-Oct-16,4040-7464-4000-3447,2320,SEG16
CTID61830871,26-Jun-16,3007-2083-4197-9770,7915,SEG21
CTID16681771,13-Dec-16,2649-6876-7496-4123,27407,SEG18
CTID36202811,23-Apr-16,6343-7134-9888-2361,45517,SEG19
CTID84926218,1-Apr-16,7382-8932-9683-9480,31515,SEG16
CTID76408966,15-Sep-16,8481-9097-2828-9363,16656,SEG21
CTID67907713,18-Aug-16,9302-6470-7735-6371,5360,SEG18
CTID91668164,14-Mar-16,3748-8048-5227-8162,45678,SEG25
CTID91294895,2-Nov-16,7377-5503-9688-7953,34862,SEG13
CTID88984107,19-Nov-16,7212-8665-7734-5918,29611,SEG13
CTID95556745,14-Apr-16,4093-1634-8086-4601,11723,SEG18
CTID40847533,28-Apr-16,5206-5979-9383-4538,37710,SEG15
CTID18673527,29-Nov-16,8685-1513-4751-8018,35607,SEG11
CTID51505666,5-Jul-16,4491-2026-2441-2049,30945,SEG18
CTID98408057,23-Mar-16,1655-7617-4318-5963,21019,SEG21
CTID25229124,31-Aug-16,2347-2804-9899-1830,14002,SEG22
CTID57225057,25-Aug-16,9425-1481-6545-6190,11460,SEG11
CTID36123729,25-Feb-16,9391-7086-9113-4893,4072,SEG20
CTID34235934,29-Mar-16,4783-2852-8264-4966,41300,SEG17
CTID91771741,27-Aug-16,6697-9358-9213-4896,44842,SEG17
CTID16914224,26-Jan-16,8870-2780-7399-5151,4283,SEG14
CTID49981184,9-Sep-16,8691-3939-1859-5937,29878,SEG17
CTID87723981,9-Nov-16,6750-4821-2334-9977,27120,SEG21
CTID31269003,20-Oct-16,8341-5263-4582-7396,1972,SEG19
CTID13278822,15-Nov-16,3440-1978-8156-5313,40333,SEG19
CTID80788144,25-Jun-16,6835-6133-8935-6988,28751,SEG19
CTID51091446,8-Jul-16,7377-5503-9688-7953,34955,SEG16
CTID95565148,16-Dec-16,3461-8685-2115-2963,42396,SEG17
CTID18296043,16-Mar-16,8002-6041-9878-5658,17329,SEG25
CTID94370405,22-Sep-16,6514-4444-5642-2615,36470,SEG17
CTID48519643,12-Apr-16,8052-5734-6162-9591,5367,SEG24
CTID42448608,5-Jul-16,3461-8685-2115-2963,11884,SEG16
CTID91841117,10-Feb-16,9138-8487-6675-4521,35935,SEG19
CTID30293763,21-Oct-16,2830-1922-3225-5423,18031,SEG24
CTID73149998,7-Apr-16,5144-5591-4640-2208,47900,SEG23
CTID95156861,24-Apr-16,6531-1690-4324-2760,7983,SEG24
CTID56393626,12-Dec-16,3461-8685-2115-2963,19794,SEG25
CTID18324077,14-Dec-16,6399-9536-6027-1857,39417,SEG24
CTID52701307,24-Mar-16,6244-6800-1680-7174,27993,SEG14
CTID29053297,11-Aug-16,6045-2636-8278-8875,42571,SEG25
CTID96666677,13-Sep-16,5734-5619-8469-4044,37975,SEG14
CTID17295494,31-May-16,8217-2336-2393-6960,32044,SEG18
CTID96641379,26-Jun-16,6479-5593-2105-9060,2646,SEG13
CTID22239149,10-Nov-16,1683-2865-3396-4925,21842,SEG14
CTID18133843,13-Aug-16,6876-7378-4945-3251,23552,SEG22
CTID91939172,20-Sep-16,4803-9564-9708-3189,21988,SEG20
CTID38498056,28-Aug-16,5262-2954-4306-9001,14168,SEG16
CTID65009094,21-Jun-16,1661-3809-5334-2155,38295,SEG11
CTID70313606,24-Nov-16,1438-6906-2509-8219,47927,SEG20
CTID66913353,16-Feb-16,7843-4724-2851-6218,22830,SEG14
CTID36226968,27-Nov-16,1355-1728-8274-9593,34537,SEG24
